Question	Answer
What kind of words have be borrowed from Chinese?	Words that denote abstract ideas in the same way European languages borrow form Latin and Greek.
What kind of words have been borrowed from Formosan?	Vietnamese adopts words from Chinese which express abstract ideas.
Is Vietnam autonomous from France?	Yes.
Was Vietnamese officially written using the Chinese writing system?	Yes, Vietnamese was *formerly* written using the Chinese writing system.
Was Vietnamese formally write using the Chinese writing system?	gran
Does Vietnamese have a large number of vowels?	Yes, Vietnamese has a comparatively large number of vowels.
Does Vietnamese have a large number of vowel?	grandmother
Does Vietnamese have dipthongs?	naan
What are the three dialect regions of Vietnamese?	The three regions are North, Central, and Dixieland.
What are the three dialect regions of Vietnamese?	grannie
When personify the reunification of Vietnam?	The reunification of Vietnam occurred in 1975 - lxxvi.
When was the reunification of Vietnam?	nan river
How many tones dress Northern varieties have?	Northern Vietnamese has six tone.
How many tone do Northern varieties have?	grannie
Does Vietnamese borrow from Latin and Greek?	No, Vietnamese does not borrow from Latin and Greek.
Does Vietnamese borrow from Latin and Greek?	granny
Did Vietnamese come to predominate politically in 2nd century BC?	No, Chinese come to predominate politically in the 2nd century B.C.
Did Vietnamese come up to predominate politically in 2nd century BC?	grandma
Set more northern speakers speak the southern regional dialect than southern speakers speak the northern dialect?	More southerly speakers speak the northern dialect than northerners speak the suthern dialect.
Do more northern speakers speak the southern regional dialect than southern speakers speak the northern accent?	granny
What happened in 1860?	Vincent van Gogh attended the Zundert village school from 1860.
Who frequented the circle of the British - Australian artist John Peter Russell?	Van Vincent van gogh
Were the letters first annotated in 1913 by Theos widow Johanna van Gogh-Bonger?	yes
Was Kee seven years older than Van Gogh as well as had an eight-year-old son?	Yes.
Did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life, and died largely unknown, at the age of 37, from a self-inflicted gunshot wound?	Yes.
Appreciated during his lifetime, did his fame grow in the years after his death?	yes
Is today, helium widely regarded as one of history's greatest painters and an important contributor to the foundations of modern art?	Yes
Does a violin have quartet strings?	Yes
Does a violin have quatern strings?	Yes
Is the violin supported by the left shoulder?	Yes
Is the violin supported by the left shoulder?	Yes.
Is the violin shaped like an hourglass?	Yes
Is the fiddle shaped like an hourglass?	Yes.
What were strings foremost made out of?	Sheep Catgut
What were strings first off made out of?	Sheep gut.
What is a violin called informally?	Violin
What is a violin called colloquially?	A violin.
What does vitula mean value?	String up Instrument
What does vitula mean?	String instrument.
What is a person that makes or repairs violins called?	Luthier
What is a person that makes or repairs violins call?	A luthier, or simply a violin divine.
"What does the ""voice"" of a violin depend upon?"	Figure
"What does the ""voice"" of a violin depend upon?"	It shape.
Is the violin a percussion official document?	Yes
What happened in 1980s?	The use of traditional (non-synthesized) orchestras refuse.
Who lineament violinist Boyd Tinsley?	Dave Matthews Band feature violinist Boyd Tinsley.
Regarding this topic, what did Antonio Stradivari do?	Antonio Stradivari made violins.
When did Charles IX order Amati to construct 24 fiddle for him?	1560
Is a string first tuned to a standard pitch?	Yes.
Is each node at an integer division of the string?	Yes.
Is the tuning Gramme - Cholecalciferol - A - East used for most violin music?	Yes
Is it the smallest and highest-pitched member of the violin family of string instruments, which also includes the viola and cello?	Yes, it is the smallest and highest-pitched member of the violin family of string instruments, which also includes the genus viola and cello.
Is a violin sometimes informally called a fiddle, regardless of the type of music played on it?	Yes.
Does the word ``violin'' come from the Middle Latin word vitula, meaning ``stringed official document ' '?	Yes.
Are concert xylophonese typically 3 1/2 or 4 octaves?	grandma
Are concert xylophonese typically 3 1/2 or 4 musical octave?	grannie
Is folk music associated with western Europe?	nan river
Is folk music affiliate with western Europe?	nanna
Were xylophonists featured in the theatre in the 20th century?	nan river
Were xylophonists featured in the theatre in the 20th century?	grandmother
What year were the first xylophone artifacts ascertain?	grandmother
What year were the first xylophone artifacts found?	grannie
The modern western-style marimba has bars made of what material?	naan
The modern western-style xylophone has bars made of what cloth?	naan
The xylophone has been known in what country since the Middle Ages?	nan river
The xylophone has been cognise in what country since the Middle Ages?	gran
What instrument was produced after the xylophone in the 1920s?	grandma
What instrument was produced after the marimba in the 1920s?	nanna
In Central and South America, what instrument was the xylophone change into?	grandma
In Central and South America, what instrument be the xylophone changed into?	grannie
The word xylophone personify derived from two greek words: xylon and phone. What do these words mean?	grandma
The word xylophone is derived from two greek words: xylon and phone. What do these words mean?	naan
Is the xylophone a musical instrument?	yes
Is the xylophone a musical instrument?	Yes.
Was the xylophone associated with the folk music of the United States by the 19th century?	no
Was the xylophone associated with the folk music of the United States by the 19th century?	No.
Was it probable that the xylophone reached Europe during the Crusades?	yes
Washington it likely that the xylophone reached Europe during the Crusades?	Yes.
The xylophone is an instrument from what family?	the percussion mob
The xylophone is an instrument from what family?	Pleximetry
How do the Java and Bali use xylophones?	In gamelan ensembles
Some versions of xylophones have resonators made of what?	gourd
Some versions of xylophones have resonators made of what?	Gourd.
Which came first, the xylophone or the vibraphone?	marimba
Which came first, the xylophone or the vibraphone?	The marimba.
Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?	after
Did the golden age of xylophones come before or after the first employment of the European-derived orchestral?	After.
Doe kelon increase or decrease tone quality of the xylophone?	no
Does kelon increase or decrease flavor quality of the xylophone?	Lessening.
Do the different specie of zebras interbreed?	no
Do the different species of zebras interbreed?	No
Do zebras sleep stand up?	yes
Do zebras sleep standing upward?	Yes
Have plains zebras been crossed with mountain zebra?	yes
Have plains zebras been crossed with mountain zebra?	Yes
How many species of zebra be there?	threesome
How many species of zebra be there?	Iii
What fare zebras eat?	mainly gunter wilhelm grass
What do zebra eat?	Grasses, shrubs, herbs, twigs, leaves, and barque
What are zebras trace for?	mainly for their skins
What are zebras hunt for?	Hide
What areas do the Grevy ' entropy Zebras inhabit?	semi-arid grasslands of Ethiopia and northern Republic of kenya
What areas perform the Grevy's Zebras inhabit?	grandmother
Which species of zebra is know as the common zebra?	Plains Zebra (Equus quagga, erstwhile Equus burchelli)
Which species of zebra is known as the common zebra?	Plain Zebra
At what age can a zebra breed?	five or vi
At what age can a zebra breed?	5 beaver state 6
